cbsa_name,median_household_income,medincome_total,medincome_under25,medincome_2544,medincome_4564,medincome_65plus,cbsa_code
"Big Stone Gap, VA Micro Area",38175,38175,21702,48580,40081,33083,13720
"Billings, MT Metro Area",61278,61278,35177,68504,71283,42782,13740
"Binghamton, NY Metro Area",54295,54295,21648,59780,68715,41763,13780
"Birmingham-Hoover, AL Metro Area",57447,57447,28611,62957,67930,43843,13820
"Bismarck, ND Metro Area",71398,71398,43726,85132,87191,45260,13900
"Blackfoot, ID Micro Area",55472,55472,35875,62103,63648,38530,13940
"Blacksburg-Christiansburg, VA Metro Area",55065,55065,11917,63049,66682,48707,13980
"Bloomington, IL Metro Area",67675,67675,17429,73157,89721,52912,14010
"Bloomington, IN Metro Area",49798,49798,16461,54702,65235,49233,14020
"Bloomsburg-Berwick, PA Metro Area",51745,51745,16647,64294,65484,34857,14100
"Bluefield, WV-VA Micro Area",41715,41715,22941,50110,44512,34150,14140
"Blytheville, AR Micro Area",39962,39962,31745,42234,45086,31623,14180
"Bogalusa, LA Micro Area",37570,37570,21929,42880,43264,29614,14220
"Boise City, ID Metro Area",60568,60568,32053,64705,72001,45106,14260
"Bonham, TX Micro Area",54648,54648,36511,68962,67769,39006,14300
"Boone, NC Micro Area",47526,47526,10487,55038,65652,52464,14380
"Borger, TX Micro Area",52524,52524,43357,62434,59540,39832,14420
"Boston-Cambridge-Newton, MA-NH Metro Area",90333,90333,46513,103137,109566,53947,14460
"Boulder, CO Metro Area",83019,83019,25960,88742,109090,62852,14500
"Bowling Green, KY Metro Area",49700,49700,23340,54661,58554,39538,14540
"Bozeman, MT Micro Area",66397,66397,29094,72420,83118,57090,14580
"Bradford, PA Micro Area",48647,48647,39605,54647,59116,34792,14620
"Brainerd, MN Micro Area",55154,55154,32850,64047,64854,44983,14660
"Branson, MO Micro Area",46031,46031,34599,52679,48827,41153,14700
"Breckenridge, CO Micro Area",79277,79277,-666666666,78659,86264,72170,14720
"Bremerton-Silverdale-Port Orchard, WA Metro Area",75411,75411,52074,78084,93277,58875,14740
"Brenham, TX Micro Area",54971,54971,-666666666,65167,64604,41205,14780
"Brevard, NC Micro Area",50212,50212,30729,42315,60694,52610,14820
"Bridgeport-Stamford-Norwalk, CT Metro Area",95645,95645,42532,97288,120233,63989,14860
"Brookhaven, MS Micro Area",42606,42606,31884,60925,52626,28857,15020
"Brookings, OR Micro Area",48440,48440,-666666666,60509,57165,36190,15060
"Brookings, SD Micro Area",58136,58136,33866,66762,76061,54589,15100
"Brownsville, TN Micro Area",37905,37905,18429,35111,48609,30662,15140
"Brownsville-Harlingen, TX Metro Area",38758,38758,27813,41278,47048,28299,15180
"Brownwood, TX Micro Area",48365,48365,24033,61694,57500,35550,15220
"Brunswick, GA Metro Area",50671,50671,28233,50602,60467,43283,15260
"Bucyrus-Galion, OH Micro Area",44971,44971,31375,50029,55031,36589,15340
"Buffalo-Cheektowaga, NY Metro Area",57621,57621,27317,63673,72183,41696,15380
"Burley, ID Micro Area",53116,53116,38625,55297,59743,41578,15420
"Burlington, IA-IL Micro Area",51667,51667,32252,54304,61996,42273,15460
"Burlington, NC Metro Area",49688,49688,24939,52394,61311,39305,15500
"Burlington-South Burlington, VT Metro Area",71413,71413,31726,80028,89067,50859,15540
"Butte-Silver Bow, MT Micro Area",45718,45718,22244,57168,54621,36213,15580
"Cadillac, MI Micro Area",47193,47193,31359,52941,52947,39307,15620
"Calhoun, GA Micro Area",45865,45865,38225,47821,55947,30925,15660
"California-Lexington Park, MD Metro Area",89845,89845,66159,93121,111632,55631,15680
"Cambridge, MD Micro Area",52917,52917,47981,52573,66401,42646,15700
"Cambridge, OH Micro Area",45917,45917,24682,49341,55879,37937,15740
"Camden, AR Micro Area",37220,37220,20417,39638,41167,34111,15780
"Campbellsville, KY Micro Area",41514,41514,24814,53592,50912,30524,15820
"Ca침on City, CO Micro Area",49409,49409,36458,53284,59491,40592,15860
"Canton-Massillon, OH Metro Area",53978,53978,35752,58912,66640,41299,15940
"Cape Coral-Fort Myers, FL Metro Area",57832,57832,40705,57627,66621,52754,15980
"Cheyenne, WY Metro Area",66910,66910,44940,74350,77218,49604,16940
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",71770,71770,36651,77960,87415,47747,16980
"Cape Girardeau, MO-IL Metro Area",51429,51429,23034,63726,60619,37696,16020
"Carbondale-Marion, IL Metro Area",45052,45052,16038,48808,59011,38059,16060
"Carlsbad-Artesia, NM Micro Area",65328,65328,38464,73610,76738,36337,16100
"Carroll, IA Micro Area",59212,59212,24932,80255,76926,35173,16140
"Carson City, NV Metro Area",55718,55718,45734,55730,69442,45151,16180
"Casper, WY Metro Area",62772,62772,35368,69596,76019,43427,16220
"Cedar City, UT Micro Area",51807,51807,30465,56087,60568,46840,16260
"Cedar Rapids, IA Metro Area",64687,64687,36098,70177,81904,45189,16300
"Cedartown, GA Micro Area",44891,44891,31250,41510,58449,35886,16340
"Celina, OH Micro Area",62952,62952,52325,75120,72007,40147,16380
"Central City, KY Micro Area",43590,43590,44440,53661,44921,34759,16420
"Centralia, IL Micro Area",47519,47519,38882,51221,58201,37328,16460
"Centralia, WA Micro Area",53484,53484,41375,59993,65571,41369,16500
"Chambersburg-Waynesboro, PA Metro Area",63379,63379,43942,69486,76027,46342,16540
"Champaign-Urbana, IL Metro Area",53641,53641,14179,55911,77903,55112,16580
"Charleston, WV Metro Area",45225,45225,26538,52427,51932,37850,16620
"Charleston-Mattoon, IL Micro Area",48142,48142,23162,53639,63240,39393,16660
"Charleston-North Charleston, SC Metro Area",63649,63649,35651,69824,71949,50683,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",63217,63217,32679,68947,75961,44032,16740
"Charlottesville, VA Metro Area",72697,72697,28563,76523,88080,60136,16820
"Chattanooga, TN-GA Metro Area",53126,53126,33882,58269,64139,38577,16860
"Chico, CA Metro Area",52537,52537,24825,59425,68041,42900,17020
"Chillicothe, OH Micro Area",51092,51092,35513,56662,60773,36180,17060
"Cincinnati, OH-KY-IN Metro Area",63987,63987,31115,70926,78979,45042,17140
"Clarksburg, WV Micro Area",51552,51552,46691,62815,62676,39391,17220
"Clarksdale, MS Micro Area",29121,29121,-666666666,24083,34792,26637,17260
"Clarksville, TN-KY Metro Area",53027,53027,35484,57276,63427,43112,17300
"Clearlake, CA Micro Area",47040,47040,39024,48529,53591,41473,17340
"Cleveland, MS Micro Area",29854,29854,15997,30673,29583,31467,17380
"Cleveland, TN Metro Area",49921,49921,26080,57515,58061,38822,17420
"Cleveland-Elyria, OH Metro Area",56008,56008,30738,61622,69773,41987,17460
"Clewiston, FL Micro Area",40820,40820,19968,36866,50813,38917,17500
"Clinton, IA Micro Area",51688,51688,35500,61293,64279,37776,17540
"Clovis, NM Micro Area",45092,45092,38114,48229,50849,32695,17580
"Coamo, PR Micro Area",19692,19692,13182,24437,20712,17025,17620
"Coco, PR Micro Area",18189,18189,2499,20792,21239,15860,17640
"Coeur d'Alene, ID Metro Area",57242,57242,39563,62388,64800,47880,17660
"Coffeyville, KS Micro Area",45157,45157,26745,52216,53257,36250,17700
"Coldwater, MI Micro Area",51947,51947,40833,54987,63017,38431,17740
"College Station-Bryan, TX Metro Area",50240,50240,18024,54659,72084,50248,17780
"Colorado Springs, CO Metro Area",68687,68687,42277,69587,84718,54952,17820
"Columbia, MO Metro Area",54808,54808,21487,61835,72909,47156,17860
"Columbia, SC Metro Area",55971,55971,25626,58457,67941,44872,17900
"Columbus, GA-AL Metro Area",47571,47571,27481,51334,55425,37514,17980
"Cullman, AL Micro Area",44918,44918,34414,53476,55654,32690,18980
"Columbus, IN Metro Area",63431,63431,40833,73078,77744,41717,18020
"Columbus, MS Micro Area",50441,50441,29293,57044,54614,40793,18060
"Columbus, NE Micro Area",62305,62305,39661,69039,77192,41991,18100
"Columbus, OH Metro Area",65150,65150,33202,70997,77795,47589,18140
"Concord, NH Micro Area",75737,75737,40115,84265,91913,51220,18180
"Connersville, IN Micro Area",46175,46175,22829,51797,56078,36408,18220
"Cookeville, TN Micro Area",41913,41913,21024,51792,49411,32510,18260
"Coos Bay, OR Micro Area",45051,45051,30357,55715,52684,38656,18300
"Cordele, GA Micro Area",36042,36042,13491,33514,43449,32575,18380
"Corinth, MS Micro Area",42086,42086,36689,47563,43644,33925,18420
"Cornelia, GA Micro Area",50563,50563,25859,54545,59320,36144,18460
"Corning, NY Micro Area",53663,53663,32092,59525,60207,42307,18500
"Corpus Christi, TX Metro Area",56013,56013,31103,61304,66606,41694,18580
"Corsicana, TX Micro Area",48529,48529,27778,51658,57631,37348,18620
"Cortland, NY Micro Area",56023,56023,29756,56887,75836,40777,18660
"Corvallis, OR Metro Area",62077,62077,22035,59532,96387,55182,18700
"Coshocton, OH Micro Area",46606,46606,31125,53727,54550,33466,18740
"Craig, CO Micro Area",57229,57229,27372,63019,70746,30893,18780
"Crawfordsville, IN Micro Area",55522,55522,32540,62026,63947,41629,18820
"Crescent City, CA Micro Area",45283,45283,24485,55319,50142,41474,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",62161,62161,33997,63634,74290,52244,18880
"Crossville, TN Micro Area",45958,45958,50347,48714,47016,43709,18900
"Decatur, IN Micro Area",52504,52504,41333,61958,59088,41264,19540
"Defiance, OH Micro Area",59931,59931,39329,67888,74906,44263,19580
"Del Rio, TX Micro Area",46147,46147,27456,57750,53642,28867,19620
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",50360,50360,27381,54526,56770,44562,19660
"Deming, NM Micro Area",29360,29360,22060,31688,34572,28076,19700
"Denver-Aurora-Lakewood, CO Metro Area",79664,79664,45615,84838,94797,55857,19740
"DeRidder, LA Micro Area",53209,53209,39750,64727,60065,35280,19760
"Des Moines-West Des Moines, IA Metro Area",70126,70126,42045,77305,84234,46681,19780
"Detroit-Warren-Dearborn, MI Metro Area",60984,60984,32972,65201,75014,45235,19820
"Dickinson, ND Micro Area",72123,72123,45726,83138,85750,49408,19860
"Dixon, IL Micro Area",58194,58194,44481,70965,68232,42090,19940
"Dodge City, KS Micro Area",51711,51711,40533,56981,58449,38886,19980
"Cullowhee, NC Micro Area",45288,45288,20872,48847,56831,38625,19000
"Cumberland, MD-WV Metro Area",47330,47330,19890,52798,59304,35566,19060
"Dallas-Fort Worth-Arlington, TX Metro Area",70281,70281,37514,72107,84572,51863,19100
"Dalton, GA Metro Area",48481,48481,38431,52260,57329,32192,19140
"Danville, IL Metro Area",46515,46515,25385,51535,53573,41859,19180
"Danville, KY Micro Area",44779,44779,46845,57096,48137,35843,19220
"Danville, VA Micro Area",42175,42175,29058,44485,48546,35862,19260
"Daphne-Fairhope-Foley, AL Metro Area",58320,58320,40442,64440,66294,48203,19300
"Davenport-Moline-Rock Island, IA-IL Metro Area",58531,58531,31586,64029,72344,44542,19340
"Dayton, TN Micro Area",42206,42206,18409,50138,47061,36469,19420
"Dayton-Kettering, OH Metro Area",55634,55634,30432,60465,68400,44128,19430
"Decatur, AL Metro Area",50422,50422,29722,53813,59476,38808,19460
"Decatur, IL Metro Area",50480,50480,23238,53137,63065,43090,19500
"Dothan, AL Metro Area",46351,46351,22376,49599,54643,38123,20020
"Douglas, GA Micro Area",40423,40423,31707,43897,45407,32070,20060
"Dover, DE Metro Area",60910,60910,33221,62172,73302,48898,20100
"Dublin, GA Micro Area",39066,39066,21686,45799,42226,28721,20140
"DuBois, PA Micro Area",49015,49015,33750,55674,61415,34108,20180
"Dubuque, IA Metro Area",63031,63031,29643,72832,75851,45000,20220
"Duluth, MN-WI Metro Area",56573,56573,31819,68185,67740,42009,20260
"Dumas, TX Micro Area",54871,54871,53246,56585,67012,40133,20300
"Duncan, OK Micro Area",47214,47214,41492,51887,55288,37197,20340
"Durango, CO Micro Area",68685,68685,29194,71440,80881,57146,20420
"Durant, OK Micro Area",44212,44212,31726,52006,51719,36344,20460
"Durham-Chapel Hill, NC Metro Area",62289,62289,30412,62468,79280,51272,20500
"Dyersburg, TN Micro Area",44185,44185,26599,51649,50414,33476,20540
"Eagle Pass, TX Micro Area",39625,39625,29957,54468,42690,19755,20580
"Easton, MD Micro Area",73547,73547,26904,76478,85986,63953,20660
"East Stroudsburg, PA Metro Area",63934,63934,40698,69429,76467,46489,20700
"Eau Claire, WI Metro Area",59584,59584,33633,69595,73131,41095,20740
"Edwards, CO Micro Area",84790,84790,41875,79188,105091,64769,20780
"Effingham, IL Micro Area",56685,56685,43152,62831,70366,42649,20820
"El Campo, TX Micro Area",48310,48310,26315,53559,57231,39637,20900
"El Centro, CA Metro Area",47622,47622,31287,57905,54190,29991,20940
"El Dorado, AR Micro Area",44663,44663,35104,51653,53655,35059,20980
"Elizabeth City, NC Micro Area",49788,49788,26630,53876,60743,39074,21020
"Elizabethtown-Fort Knox, KY Metro Area",54132,54132,36400,57547,64482,40054,21060
"Elk City, OK Micro Area",50721,50721,-666666666,64579,56515,32188,21120
"Elkhart-Goshen, IN Metro Area",57021,57021,37559,59981,67877,41624,21140
"Elkins, WV Micro Area",43320,43320,29302,46220,53019,34100,21180
"Elko, NV Micro Area",80725,80725,62520,86034,93578,46064,21220
"Ellensburg, WA Micro Area",56004,56004,22846,63782,84310,46364,21260
"Elmira, NY Metro Area",54940,54940,29393,60111,65993,42410,21300
"El Paso, TX Metro Area",46795,46795,29875,51670,53180,32302,21340
"Emporia, KS Micro Area",46217,46217,17468,57542,63041,41945,21380
"Enid, OK Metro Area",54006,54006,41591,59515,61990,37966,21420
"Enterprise, AL Micro Area",55637,55637,27586,60048,66903,45117,21460
"Erie, PA Metro Area",51529,51529,23663,56752,64407,40208,21500
"Escanaba, MI Micro Area",47434,47434,38560,57121,58750,37158,21540
"Espa침ola, NM Micro Area",39952,39952,19549,43627,46463,33159,21580
"Forrest City, AR Micro Area",35348,35348,23462,38932,37371,31175,22620
"Eufaula, AL-GA Micro Area",32327,32327,18358,31421,39522,30317,21640
"Eugene-Springfield, OR Metro Area",52426,52426,24464,56053,64632,46216,21660
"Eureka-Arcata, CA Micro Area",48041,48041,25156,50764,56312,45852,21700
"Evanston, WY Micro Area",63403,63403,26953,73650,75577,48005,21740
"Evansville, IN-KY Metro Area",54063,54063,31770,62330,65409,38835,21780
"Fairbanks, AK Metro Area",76992,76992,41676,77035,98916,69954,21820
"Fairfield, IA Micro Area",47708,47708,26522,53789,60994,39940,21840
"Fairmont, MN Micro Area",52798,52798,39219,68405,63849,41423,21860
"Fairmont, WV Micro Area",50305,50305,32500,60806,61784,35742,21900
"Fallon, NV Micro Area",57824,57824,43636,59601,73214,42470,21980
"Fort Morgan, CO Micro Area",53682,53682,46250,61820,63023,35347,22820
"Fort Payne, AL Micro Area",40440,40440,27326,49409,47250,29788,22840
"Fort Polk South, LA Micro Area",49141,49141,35479,52651,61815,31798,22860
"Fort Smith, AR-OK Metro Area",44750,44750,33107,49990,51336,33662,22900
"Fargo, ND-MN Metro Area",64666,64666,33912,74108,81026,47814,22020
"Faribault-Northfield, MN Micro Area",68584,68584,41370,72144,86148,45566,22060
"Farmington, MO Micro Area",46466,46466,35472,52158,54683,37912,22100
"Farmington, NM Metro Area",50518,50518,30192,53892,58535,39155,22140
"Fayetteville, NC Metro Area",48459,48459,30974,50325,56714,39563,22180
"Fayetteville-Springdale-Rogers, AR Metro Area",57603,57603,29155,64663,69099,44671,22220
"Fergus Falls, MN Micro Area",58682,58682,47100,69795,73030,38826,22260
"Fernley, NV Micro Area",56875,56875,40697,72418,62393,43282,22280
"Findlay, OH Micro Area",58450,58450,36976,63110,71506,43306,22300
"Fitzgerald, GA Micro Area",32229,32229,20870,35352,37007,29255,22340
"Flagstaff, AZ Metro Area",59460,59460,20682,67050,68003,53814,22380
"Flint, MI Metro Area",48588,48588,30200,51165,55739,43347,22420
"Florence, SC Metro Area",44114,44114,26424,50404,52191,34995,22500
"Florence-Muscle Shoals, AL Metro Area",48084,48084,21828,53964,61557,38967,22520
"Fond du Lac, WI Metro Area",62391,62391,43396,71787,76765,39302,22540
"Forest City, NC Micro Area",42608,42608,46686,46893,46288,33482,22580
"Fort Leonard Wood, MO Micro Area",53492,53492,35770,62852,59258,47625,22780
"Fort Madison-Keokuk, IA-IL-MO Micro Area",50694,50694,38547,57106,60900,36904,22800
"Fort Wayne, IN Metro Area",55341,55341,33787,59854,66930,42425,23060
"Frankfort, IN Micro Area",54286,54286,36336,60152,64158,41556,23140
"Frankfort, KY Micro Area",56024,56024,22518,59278,61848,51905,23180
"Fredericksburg, TX Micro Area",59155,59155,-666666666,64979,71426,48727,23240
"Freeport, IL Micro Area",48805,48805,22087,48871,63359,40450,23300
"Fremont, NE Micro Area",54085,54085,43207,58603,68250,39404,23340
"Fremont, OH Micro Area",54089,54089,32902,63587,64766,39862,23380
"Fresno, CA Metro Area",53969,53969,27914,54139,65398,43646,23420
"Gadsden, AL Metro Area",44637,44637,30227,48168,52996,36262,23460
"Gaffney, SC Micro Area",36883,36883,20654,34087,46411,32750,23500
"Gainesville, FL Metro Area",46843,46843,14917,52804,60102,43208,23540
"Gainesville, GA Metro Area",62984,62984,37389,60325,77712,52473,23580
"Gainesville, TX Micro Area",60202,60202,37250,63108,73125,46688,23620
"Galesburg, IL Micro Area",44129,44129,16914,47703,58044,35633,23660
"Gallup, NM Micro Area",33834,33834,18693,34472,37801,29245,23700
"Garden City, KS Micro Area",59477,59477,48869,59183,73877,42573,23780
"Gardnerville Ranchos, NV Micro Area",66810,66810,44515,70982,76296,56550,23820
"Georgetown, SC Micro Area",48456,48456,-666666666,45350,52926,46997,23860
"Gettysburg, PA Metro Area",67253,67253,50212,76855,81091,44394,23900
"Gillette, WY Micro Area",78833,78833,29699,86768,88288,37264,23940
"Glasgow, KY Micro Area",40899,40899,30750,44874,45597,31122,23980
"Glens Falls, NY Metro Area",59395,59395,39349,64602,69134,47823,24020
"Glenwood Springs, CO Micro Area",76482,76482,41949,75932,83367,65164,24060
"Gloversville, NY Micro Area",50482,50482,28689,58439,55460,39111,24100
"Goldsboro, NC Metro Area",44416,44416,27680,45838,52819,35844,24140
"Granbury, TX Micro Area",64041,64041,25518,71882,80655,50191,24180
"Grand Forks, ND-MN Metro Area",55609,55609,26838,62239,78200,39854,24220
"Grand Island, NE Metro Area",57086,57086,37005,62458,71878,39432,24260
"Grand Junction, CO Metro Area",55379,55379,30086,59888,65848,44855,24300
"Grand Rapids, MN Micro Area",55139,55139,32201,70485,66752,38816,24330
"Grand Rapids-Kentwood, MI Metro Area",63302,63302,36044,69728,77964,44406,24340
"Grants, NM Micro Area",39413,39413,38438,45891,42955,30413,24380
"Grants Pass, OR Metro Area",45616,45616,41982,47984,53068,40813,24420
"Great Bend, KS Micro Area",49723,49723,20256,57061,63508,38750,24460
"Great Falls, MT Metro Area",49913,49913,31565,58498,56646,39501,24500
"Greeley, CO Metro Area",74150,74150,37453,80388,86001,47359,24540
"Green Bay, WI Metro Area",62405,62405,38265,70868,76349,40081,24580
"Greeneville, TN Micro Area",42595,42595,37754,51509,47752,33824,24620
"Greensboro-High Point, NC Metro Area",50891,50891,28442,52433,60933,40617,24660
"Greensburg, IN Micro Area",57949,57949,44199,71411,58958,42890,24700
"Greenville, MS Micro Area",29705,29705,13861,27157,36516,28443,24740
"Greenville, NC Metro Area",47437,47437,22426,55737,58273,41607,24780
"Greenville, OH Micro Area",55620,55620,44597,62745,66277,39155,24820
"Greenville-Anderson, SC Metro Area",54886,54886,30587,62510,65289,40968,24860
"Greenwood, MS Micro Area",30218,30218,24000,34038,31909,28184,24900
"Greenwood, SC Micro Area",42336,42336,17177,42602,50627,36708,24940
"Grenada, MS Micro Area",40122,40122,21034,37109,45743,37411,24980
"Guayama, PR Metro Area",16980,16980,11007,15942,19237,15302,25020
"Gulfport-Biloxi, MS Metro Area",49068,49068,34125,49714,57003,41479,25060
"Guymon, OK Micro Area",52282,52282,19784,56743,59571,36833,25100
"Hagerstown-Martinsburg, MD-WV Metro Area",61138,61138,41625,68160,70298,44008,25180
"Hailey, ID Micro Area",54987,54987,75855,58264,61397,49821,25200
"Hammond, LA Metro Area",47832,47832,23896,54666,55827,34852,25220
"Hanford-Corcoran, CA Metro Area",57848,57848,39962,57845,67605,47618,25260
"Hannibal, MO Micro Area",50960,50960,33494,59014,60625,38606,25300
"Harrisburg-Carlisle, PA Metro Area",64916,64916,32581,72466,78672,47270,25420
"Harrison, AR Micro Area",44562,44562,42912,47352,51222,34398,25460
"Harrisonburg, VA Metro Area",56500,56500,22208,62877,66146,45312,25500
"Hartford-East Hartford-Middletown, CT Metro Area",77769,77769,38462,83599,96628,53080,25540
"Hastings, NE Micro Area",53023,53023,33047,60109,64540,37167,25580
"Hattiesburg, MS Metro Area",46800,46800,24835,50545,52254,39116,25620
"Hays, KS Micro Area",52883,52883,26667,64167,73177,35846,25700
"Heber, UT Micro Area",94989,94989,52183,96579,110719,71717,25720
"Helena, MT Micro Area",66419,66419,31019,71119,79610,50117,25740
"Helena-West Helena, AR Micro Area",29320,29320,9457,32813,31503,30288,25760
"Henderson, NC Micro Area",40529,40529,-666666666,35732,44575,38211,25780
"Hereford, TX Micro Area",49701,49701,32500,52600,72944,28201,25820
"Hermiston-Pendleton, OR Micro Area",54645,54645,34755,54430,68466,42586,25840
"Hickory-Lenoir-Morganton, NC Metro Area",48114,48114,29462,52787,57101,36835,25860
"Hillsdale, MI Micro Area",49622,49622,29750,54617,56680,39129,25880
"Hilo, HI Micro Area",62409,62409,35259,69474,70607,50816,25900
"Hilton Head Island-Bluffton, SC Metro Area",64959,64959,41345,58484,73458,67380,25940
"Hinesville, GA Metro Area",50160,50160,34355,51290,56716,46947,25980
"Hobbs, NM Micro Area",60546,60546,51770,70092,67684,34643,26020
"Holland, MI Micro Area",62965,62965,45156,70078,73360,44310,26090
"Homosassa Springs, FL Metro Area",44237,44237,19491,47475,49287,41315,26140
"Hood River, OR Micro Area",65679,65679,29537,76202,72326,48938,26220
"Hope, AR Micro Area",41125,41125,36977,40352,49255,34606,26260
"Hot Springs, AR Metro Area",44777,44777,31262,45325,52335,42236,26300
"Houghton, MI Micro Area",44198,44198,17184,55435,58605,38370,26340
"Houma-Thibodaux, LA Metro Area",51837,51837,30490,68434,57226,32941,26380
"Houston-The Woodlands-Sugar Land, TX Metro Area",67516,67516,35058,69358,80702,50089,26420
"Hudson, NY Micro Area",66787,66787,37614,66762,81079,55049,26460
"Huntingdon, PA Micro Area",51678,51678,33264,60802,66870,36163,26500
"Huntington, IN Micro Area",53632,53632,26250,63158,61750,37633,26540
"Huntington-Ashland, WV-KY-OH Metro Area",45441,45441,25980,53531,52793,36144,26580
"Huntsville, AL Metro Area",64483,64483,24207,64377,83421,51140,26620
"Huntsville, TX Micro Area",43742,43742,10269,46646,70098,44923,26660
"Huron, SD Micro Area",51662,51662,29560,59800,60976,37158,26700
"Hutchinson, KS Micro Area",49936,49936,30833,54707,59299,39506,26740
"Hutchinson, MN Micro Area",62121,62121,32283,74060,74338,46867,26780
"Idaho Falls, ID Metro Area",61007,61007,34530,63512,75779,46883,26820
"Indiana, PA Micro Area",49320,49320,20103,60461,64130,38833,26860
